img,Class
img_1.jpg,Operating the radio
img_10.jpg,Operating the radio
img_100.jpg,Safe driving
img_1000.jpg,Drinking
img_100000.jpg,Talking on the phone - left
img_100001.jpg,Texting - left
img_100002.jpg,Drinking
img_100003.jpg,Texting - right
img_100004.jpg,Drinking
img_100005.jpg,Reaching behind
img_100007.jpg,Talking on the phone - right
img_100008.jpg,Hair and makeup
img_100009.jpg,Talking on the phone - right
img_10001.jpg,Safe driving
img_100010.jpg,Drinking
img_100011.jpg,Safe driving
img_100012.jpg,Operating the radio
img_100013.jpg,Operating the radio
img_100014.jpg,Talking on the phone - right
img_100016.jpg,Safe driving
img_100017.jpg,Talking on the phone - right
img_100018.jpg,Hair and makeup
img_100019.jpg,Drinking
img_10002.jpg,Hair and makeup
img_100020.jpg,Texting - left
img_100022.jpg,Talking on the phone - left
img_100023.jpg,Operating the radio
img_100024.jpg,Texting - left
img_100025.jpg,Reaching behind
img_100028.jpg,Operating the radio
img_100030.jpg,Talking on the phone - left
img_100031.jpg,Operating the radio
img_100032.jpg,Hair and makeup
img_100033.jpg,Talking on the phone - right
img_100034.jpg,Reaching behind
img_100035.jpg,Operating the radio
img_100037.jpg,Operating the radio
img_100038.jpg,Texting - left
img_100039.jpg,Safe driving
img_10004.jpg,Texting - right
img_100040.jpg,Hair and makeup
img_100042.jpg,Hair and makeup
img_100043.jpg,Talking on the phone - right
img_100044.jpg,Hair and makeup
img_100047.jpg,Drinking
img_100049.jpg,Hair and makeup
img_10005.jpg,Operating the radio
img_100051.jpg,Texting - right
img_100052.jpg,Talking on the phone - left
img_100053.jpg,Safe driving
img_100054.jpg,Texting - left
img_100055.jpg,Talking on the phone - left
img_100056.jpg,Talking on the phone - left
img_100058.jpg,Operating the radio
img_100059.jpg,Talking on the phone - left
img_10006.jpg,Reaching behind
img_100060.jpg,Operating the radio
img_100062.jpg,Talking on the phone - left
img_100063.jpg,Talking on the phone - left
img_100064.jpg,Hair and makeup
img_100066.jpg,Talking to passenger
img_100067.jpg,Talking on the phone - right
img_100068.jpg,Operating the radio
img_100069.jpg,Hair and makeup
img_10007.jpg,Talking to passenger
img_100070.jpg,Hair and makeup
img_100071.jpg,Operating the radio
img_100072.jpg,Texting - left
img_100073.jpg,Drinking
img_100075.jpg,Reaching behind
img_100077.jpg,Talking on the phone - left
img_100078.jpg,Reaching behind
img_100079.jpg,Safe driving
img_10008.jpg,Texting - right
img_100080.jpg,Operating the radio
img_100081.jpg,Operating the radio
img_100082.jpg,Talking on the phone - left
img_100083.jpg,Operating the radio
img_100084.jpg,Hair and makeup
img_100085.jpg,Talking on the phone - left
img_100086.jpg,Texting - right
img_100087.jpg,Hair and makeup
img_100088.jpg,Hair and makeup
img_100089.jpg,Reaching behind
img_10009.jpg,Texting - left
img_100091.jpg,Hair and makeup
img_100092.jpg,Texting - right
img_100093.jpg,Talking on the phone - right
img_100094.jpg,Drinking
img_100095.jpg,Talking on the phone - right
img_100096.jpg,Hair and makeup
img_100097.jpg,Talking on the phone - right
img_100098.jpg,Drinking
img_100099.jpg,Reaching behind
img_1001.jpg,Operating the radio
img_10010.jpg,Talking on the phone - right
img_100101.jpg,Hair and makeup
img_100102.jpg,Hair and makeup
img_100103.jpg,Operating the radio
img_100104.jpg,Reaching behind
img_100105.jpg,Talking on the phone - left
img_100106.jpg,Reaching behind
img_100107.jpg,Hair and makeup
img_100110.jpg,Hair and makeup
img_100111.jpg,Texting - left
img_100112.jpg,Operating the radio
img_100114.jpg,Texting - left
img_100115.jpg,Reaching behind
img_100117.jpg,Talking to passenger
img_100118.jpg,Operating the radio
img_100119.jpg,Hair and makeup
img_100120.jpg,Hair and makeup
img_100122.jpg,Drinking
img_100123.jpg,Operating the radio
img_100124.jpg,Drinking
img_100125.jpg,Hair and makeup
img_100127.jpg,Drinking
img_100128.jpg,Reaching behind
img_100129.jpg,Talking to passenger
img_10013.jpg,Drinking
img_100130.jpg,Talking on the phone - left
img_100131.jpg,Texting - left
img_100132.jpg,Reaching behind
img_100133.jpg,Reaching behind
img_100134.jpg,Hair and makeup
img_100137.jpg,Operating the radio
img_100138.jpg,Drinking
img_10014.jpg,Hair and makeup
img_100140.jpg,Drinking
img_100141.jpg,Drinking
img_100142.jpg,Texting - left
img_100143.jpg,Operating the radio
img_100146.jpg,Talking on the phone - left
img_100147.jpg,Texting - left
